name,amenity,highway,barrier,landuse,lat,lon
Nijjarpura,,,toll_booth,,31.5775376,74.9972082
Petrol Pump,fuel,,,,30.8740597,75.8586854
Ansal Plaza;Basant,restaurant,,,,30.8974153,75.820184
HKG,fuel,,,,30.8842659,75.8079494
Vashi Toll Plaza,,,toll_booth,,19.0641486,72.9804748
Petrol Bunk,fuel,,,,13.6294533,79.4390308
Sonampetty,,,toll_booth,,14.6937783,79.9788645
Copper Chimney,restaurant,,,,18.927571,72.8325747
Premier,parking,,,,18.942228,72.8272935
Liberty,parking,,,,18.9424,72.8269
Qamar,parking,,,,18.9567099,72.8369017
Kemp's Corner,parking,,,,18.9643233,72.8058471
Milan International,parking,,,,19.0880891,72.8416913
Jayashree,parking,,,,19.0934661,72.8505495
Arsa,parking,,,,19.1174006,72.8501748
The Retreat,parking,,,,19.1472915,72.7896577
Royal Shelter,parking,,,,19.1824,72.8435
Malout,restaurant,,,,30.1902559,74.5001207
Petrol Pump,fuel,,,,30.8598353,75.8590925
SREC Canteen,restaurant,,,,11.1017133,76.9664263
Reliance,fuel,,,,11.2575595,77.5511245
B6 Inn,restaurant,,,,8.5563511,76.8761007
Snack Corner,restaurant,,,,12.8984603,77.6010688
Athicas Canteen,fast_food,,,,12.894213,77.6025681
HP,fuel,,,,13.0368733,80.2555597
IOC,fuel,,,,13.037841,80.2562967
BP,fuel,,,,13.0378885,80.2569506
Indian Oil,fuel,,,,28.4892384,77.0909884
HP,fuel,,,,8.5110238,76.9627206
Buraq,restaurant,,,,8.511711,76.9636564
Bharat Petrol,fuel,,,,8.5076353,76.9621048
Indian Coffee House,restaurant,,,,8.5049265,76.9535723
Guest House,restaurant,,,,8.5587565,76.8809894
sri gavuri nivas,restaurant,,,,8.5231268,76.9297678
Nemili,,,toll_booth,,12.9818087,79.9692083
The Great Kabab Factory,restaurant,,,,12.9946821,80.1874068
Bharat Petroleum,fuel,,,,12.9943244,80.1870765
Bharat Petroleum,fuel,,,,28.4324009,77.0478668
Indian Oil,fuel,,,,28.4255168,77.0373704
Darbar,fast_food,,,,28.4528666,77.0406221
McDonald's,fast_food,,,,28.5574267,77.1635699
Hindustan Petroleum,fuel,,,,28.4767267,77.0664904
Indian Oil,fuel,,,,28.4672528,77.0371571
Bikanervala,fast_food,,,,28.4689302,77.0638804
Park Baluchi,restaurant,,,,28.4684904,77.0644002
Domino's,fast_food,,,,28.4113681,77.0432317
Meals House,fast_food,,,,12.8696335,77.6540449
Food n Drinks,fast_food,,,,12.8507304,77.6573836
Evolve Electronic City,restaurant,,,,12.8456194,77.6588954
Karamsar Petrol Pump,fuel,,,,30.7298205,75.9533439
Indian Oil,fuel,,,,28.4946609,77.150715
Indian Oil,fuel,,,,28.5043431,77.1719993
